name	docked_protein	Mean rank	SD
737	2jam	3.0	1.0
200	2jam	3.0	1.7320508075688772
1676	2jam	10.333333333333334	8.504900548115383
1248	2jam	19.666666666666668	14.977761292440647
1894	2jam	24.0	3.605551275463989
205	2jam	26.666666666666668	9.018499505645789
695	2jam	26.666666666666668	21.77919496522618
138	2jam	29.333333333333332	13.650396819628847
1781	2jam	29.333333333333332	22.501851775650227
2330	2jam	30.0	11.357816691600547
2020	2jam	31.666666666666668	28.21937868439582
1982	2jam	33.0	22.869193252058544
985	2jam	34.0	36.49657518178932
141	2jam	35.0	52.0
2164	2jam	35.0	15.132745950421556
670	2jam	35.333333333333336	47.384948383778294
1822	2jam	37.333333333333336	43.50095784386056
1706	2jam	38.666666666666664	26.312227829154516
201	2jam	38.666666666666664	31.182259913824932
199	2jam	41.0	4.358898943540674
2301	2jam	41.333333333333336	28.37839553839035
681	2jam	42.666666666666664	29.365512652316042
454	2jam	43.666666666666664	33.231511150312336
624	2jam	43.666666666666664	45.45693933090231
662	2jam	44.0	37.403208418530085
1850	2jam	46.0	61.538605769061746
680	2jam	46.333333333333336	6.110100926607787
131	2jam	47.333333333333336	28.360771028541052
2432	2jam	47.333333333333336	3.785938897200182
137	2jam	48.333333333333336	58.6031853514238
211	2jam	48.666666666666664	48.01388688008223
95	2jam	49.0	9.0
1001	2jam	50.666666666666664	41.74126655161932
1413	2jam	51.0	85.73797291748855
1651	2jam	51.333333333333336	4.163331998932266
1160	2jam	51.333333333333336	40.796241656963126
2139	2jam	53.0	13.892443989449804
1521	2jam	55.0	84.87638069569178
1388	2jam	59.666666666666664	47.9617903474561
1355	2jam	64.0	86.65448632355972
526	2jam	66.0	24.020824298928627
1432	2jam	66.66666666666667	10.016652800877814
588	2jam	66.66666666666667	37.634204300520736
2267	2jam	68.33333333333333	47.25815626252608
213	2jam	69.33333333333333	37.978063843926186
1945	2jam	70.0	32.449961479175904
1971	2jam	71.66666666666667	88.32515685428095
1130	2jam	72.0	86.01744009211156
1516	2jam	72.33333333333333	13.576941236277536
247	2jam	73.0	51.39066063011839
200	2qfa	1.0	0.0
201	2qfa	11.0	15.588457268119896
1432	2qfa	16.666666666666668	12.342339054382412
247	2qfa	17.0	6.557438524302
1676	2qfa	18.0	12.288205727444508
2301	2qfa	18.333333333333332	25.69695182961071
1160	2qfa	18.666666666666668	14.468356276140469
670	2qfa	19.0	7.810249675906654
789	2qfa	19.666666666666668	17.95364401266031
737	2qfa	23.0	4.358898943540674
662	2qfa	23.0	14.933184523068078
695	2qfa	23.333333333333332	10.214368964029708
631	2qfa	24.0	16.09347693943108
2330	2qfa	25.666666666666668	9.073771725877465
1894	2qfa	31.666666666666668	41.88476254359494
681	2qfa	31.666666666666668	2.886751345948129
2361	2qfa	34.666666666666664	18.77054430040145
950	2qfa	35.333333333333336	27.501515109777742
1130	2qfa	35.333333333333336	30.0055550412475
138	2qfa	38.333333333333336	32.145502536643185
141	2qfa	40.333333333333336	60.351746729761956
1248	2qfa	42.0	33.8673884437522
1413	2qfa	43.333333333333336	63.81483631047981
1822	2qfa	45.333333333333336	31.895663237081827
526	2qfa	46.0	17.435595774162696
2267	2qfa	50.0	42.67317658670374
1850	2qfa	50.0	44.64302857109943
2164	2qfa	50.666666666666664	34.019602192461534
199	2qfa	52.0	30.04995840263344
617	2qfa	52.333333333333336	38.37099599089569
592	2qfa	52.333333333333336	31.085902485424697
680	2qfa	52.333333333333336	1.154700538379251
81	2qfa	52.666666666666664	10.016652800877813
872	2qfa	53.333333333333336	31.56474826976026
908	2qfa	53.333333333333336	57.95112883571236
382	2qfa	55.333333333333336	6.5064070986477125
2270	2qfa	56.333333333333336	21.939310229205777
1266	2qfa	56.666666666666664	81.73330614463931
1388	2qfa	57.666666666666664	20.305992547357377
131	2qfa	58.0	19.05255888325765
2359	2qfa	58.333333333333336	34.847285881877994
1516	2qfa	59.0	36.59234892706397
1594	2qfa	61.333333333333336	37.233497463081996
1300	2qfa	63.333333333333336	7.637626158259733
2350	2qfa	63.333333333333336	100.20146372849716
459	2qfa	64.0	39.585350825778974
874	2qfa	66.66666666666667	29.16047553338823
426	2qfa	67.0	11.269427669584644
137	2qfa	67.33333333333333	53.92896562454479
1893	2qfa	69.0	89.20201791439474
200	3e7o	2.0	1.7320508075688772
1248	3e7o	8.0	6.082762530298219
211	3e7o	10.666666666666666	12.423096769056148
1971	3e7o	15.0	15.620499351813308
2012	3e7o	17.333333333333332	4.163331998932266
737	3e7o	18.333333333333332	7.023769168568492
152	3e7o	20.333333333333332	17.897858344878397
141	3e7o	21.333333333333332	30.892285984260432
213	3e7o	22.0	15.588457268119896
670	3e7o	22.666666666666668	3.785938897200183
695	3e7o	22.666666666666668	8.082903768654761
1300	3e7o	22.666666666666668	8.32666399786453
1676	3e7o	22.666666666666668	13.279056191361391
1001	3e7o	24.333333333333332	13.316656236958785
1432	3e7o	26.666666666666668	14.571661996262929
1413	3e7o	27.333333333333332	37.81974792794544
1301	3e7o	28.666666666666668	31.50132272355136
591	3e7o	32.333333333333336	52.53887449625594
2330	3e7o	33.0	23.302360395462088
1982	3e7o	35.666666666666664	8.020806277010642
1706	3e7o	36.666666666666664	11.590225767142474
985	3e7o	36.666666666666664	20.256686138984662
199	3e7o	36.666666666666664	24.378952670968726
81	3e7o	37.333333333333336	10.503967504392488
908	3e7o	40.333333333333336	36.17089069035118
1521	3e7o	40.666666666666664	23.86070689089771
993	3e7o	42.0	29.512709126747414
662	3e7o	42.666666666666664	32.145502536643185
1553	3e7o	43.0	25.238858928247925
2164	3e7o	44.333333333333336	13.203534880225574
624	3e7o	45.0	64.08587988004847
1966	3e7o	45.666666666666664	28.290163190291665
617	3e7o	48.333333333333336	12.013880860626733
1329	3e7o	48.666666666666664	7.767453465154029
2109	3e7o	49.0	73.61385739111897
1945	3e7o	53.0	41.24318125460256
1894	3e7o	53.666666666666664	17.7857620959388
137	3e7o	54.0	35.93048844644336
205	3e7o	54.333333333333336	35.64173583501979
1976	3e7o	57.333333333333336	45.70922591045853
1548	3e7o	59.666666666666664	54.09559439855831
588	3e7o	61.0	88.34025130143111
1850	3e7o	61.666666666666664	43.015501081974314
2275	3e7o	62.666666666666664	76.50054466037045
920	3e7o	63.333333333333336	20.5993527406405
631	3e7o	64.0	19.078784028338912
1801	3e7o	66.0	6.082762530298219
1822	3e7o	66.66666666666667	37.421027956662726
247	3e7o	69.0	33.645207682521445
1516	3e7o	72.33333333333333	80.30774142841607
200	3elj	1.3333333333333333	0.5773502691896258
1248	3elj	11.666666666666666	9.71253485622231
201	3elj	15.333333333333334	2.516611478423583
1982	3elj	16.0	5.291502622129181
1676	3elj	16.0	10.816653826391969
1001	3elj	17.333333333333332	11.67618659209133
1850	3elj	19.333333333333332	16.289055630494154
993	3elj	21.0	19.974984355438178
1801	3elj	22.0	2.0
624	3elj	22.666666666666668	35.795716689756794
695	3elj	23.333333333333332	7.0945988845975885
737	3elj	23.333333333333332	11.239810200058244
985	3elj	26.333333333333332	20.984120980716188
1413	3elj	31.333333333333332	44.747439405326126
1160	3elj	33.666666666666664	24.378952670968726
681	3elj	37.333333333333336	7.637626158259734
2164	3elj	37.333333333333336	21.07921567168317
2301	3elj	38.333333333333336	14.6401275039985
1521	3elj	38.333333333333336	50.816663933530045
1548	3elj	39.333333333333336	7.505553499465134
2139	3elj	40.0	4.58257569495584
1434	3elj	41.333333333333336	23.115651263447745
1945	3elj	42.0	30.643106892089126
1432	3elj	42.333333333333336	6.350852961085883
199	3elj	44.333333333333336	7.234178138070236
137	3elj	46.0	16.46207763315433
1130	3elj	47.666666666666664	29.365512652316042
2020	3elj	47.666666666666664	53.15386470740705
2012	3elj	47.666666666666664	76.50054466037045
421	3elj	49.333333333333336	16.77299416721217
2330	3elj	50.333333333333336	14.640127503998501
37	3elj	52.666666666666664	47.37439533475159
591	3elj	52.666666666666664	67.03978918025723
141	3elj	53.333333333333336	24.090108620206205
1804	3elj	53.333333333333336	42.44211744639202
2267	3elj	54.0	28.61817604250837
1535	3elj	54.666666666666664	50.579969684978394
1622	3elj	55.0	18.35755975068582
1822	3elj	55.0	63.26926584053272
213	3elj	55.333333333333336	88.04733575374858
1781	3elj	56.666666666666664	7.505553499465134
1089	3elj	57.0	39.05124837953327
2103	3elj	57.333333333333336	37.44774136491189
1971	3elj	57.333333333333336	91.52231057689339
1706	3elj	59.666666666666664	33.201405592735576
1329	3elj	61.333333333333336	46.60829682935575
1300	3elj	62.0	47.885279575251516
1976	3elj	62.0	66.91038783328041
662	3elj	63.666666666666664	49.66219219218311
1687	3elj	64.0	21.79449471770337
200	3npc	1.6666666666666667	1.1547005383792517
141	3npc	8.0	10.392304845413264
695	3npc	9.333333333333334	1.5275252316519465
1248	3npc	9.666666666666666	7.571877794400366
1676	3npc	18.666666666666668	26.312227829154512
1936	3npc	21.666666666666668	8.504900548115383
81	3npc	23.666666666666668	6.506407098647712
1706	3npc	24.333333333333332	31.75426480542942
2330	3npc	30.0	19.078784028338912
737	3npc	30.333333333333332	32.624121954978854
137	3npc	31.333333333333332	48.21134029803915
1850	3npc	32.0	21.702534414210707
1432	3npc	35.333333333333336	3.214550253664317
382	3npc	35.333333333333336	18.502252115170556
