name	docked_protein	Mean rank	SD
2	2jam	52.333333333333336	50.52062285179522
2	2qfa	115.66666666666667	76.00877142365434
2	3e7o	188.33333333333334	144.04975992112355
2	3elj	133.0	68.63672486358888
2	3npc	268.0	220.83704399398212
2	3sx0	241.66666666666666	209.39038500688932
2	4agl	229.66666666666666	191.7559212471243
2	4x21	129.33333333333334	114.77078606219152
2	5l4q	52.0	42.930175867331364
2	6e43	251.33333333333334	199.6129588311674
2	6q9y	222.33333333333334	187.40419774736458
2	6s1j	168.33333333333334	128.59367532399614
3	2jam	68.0	77.58221445666526
3	2qfa	94.33333333333333	66.64332924857021
3	3e7o	215.33333333333334	189.159544653008
3	3elj	86.0	73.97972695272672
3	3npc	219.0	204.35997651203624
3	3sx0	232.66666666666666	183.88674050440216
3	4agl	217.0	234.71685069461884
3	4x21	148.0	136.72234638127009
3	5l4q	63.333333333333336	59.01129835322498
3	6e43	240.66666666666666	195.0546931845869
3	6q9y	244.33333333333334	199.37987193629485
3	6s1j	199.0	153.8440769090575
4	2jam	202.0	71.75653280364095
4	2qfa	241.33333333333334	34.53018003621373
4	3e7o	143.66666666666666	93.27557736799774
4	3elj	78.33333333333333	23.75570107012911
4	3npc	114.0	71.14070564732964
4	3sx0	106.66666666666667	36.004629331980816
4	4agl	214.33333333333334	174.24503818856172
4	4x21	81.33333333333333	43.66157731156002
4	5l4q	125.33333333333333	82.97790870667527
4	6e43	158.66666666666666	83.52444751887518
4	6q9y	214.66666666666666	77.82244748999695
4	6s1j	189.33333333333334	104.17453303631044
5	2jam	222.66666666666666	182.4125361189119
5	2qfa	340.6666666666667	174.90664176449485
5	3e7o	234.33333333333334	201.43071596291696
5	3elj	93.66666666666667	98.61203442447241
5	3npc	215.0	161.16761461286197
5	3sx0	311.3333333333333	70.11656960614468
5	4agl	199.33333333333334	175.02666463523016
5	4x21	213.0	185.59094805512473
5	5l4q	165.33333333333334	132.8620838814947
5	6e43	318.3333333333333	168.3963578386817
5	6q9y	134.0	47.82258880487337
5	6s1j	253.66666666666666	199.05359412312387
6	2jam	75.0	51.02940328869229
6	2qfa	93.33333333333333	40.5010287935175
6	3e7o	45.333333333333336	35.47299442298794
6	3elj	23.0	8.717797887081348
6	3npc	119.33333333333333	110.81666541334536
6	3sx0	160.33333333333334	40.45161719058131
6	4agl	134.33333333333334	110.03787226829377
6	4x21	17.333333333333332	9.451631252505216
6	5l4q	113.33333333333333	52.652951800761684
6	6e43	62.666666666666664	33.4863156129983
6	6q9y	179.66666666666666	88.45526176171394
6	6s1j	207.33333333333334	140.75629056398628
11	2jam	48.333333333333336	38.85013942488924
11	2qfa	153.0	131.59407281484982
11	3e7o	20.666666666666668	14.571661996262929
11	3elj	28.333333333333332	11.150485789118488
11	3npc	88.0	82.29216244576394
11	3sx0	100.66666666666667	48.95235779136009
11	4agl	56.666666666666664	54.197170897873754
11	4x21	46.0	39.05124837953327
11	5l4q	65.33333333333333	60.475890512941874
11	6e43	43.333333333333336	18.90326250501043
11	6q9y	134.33333333333334	68.01715469889442
11	6s1j	171.66666666666666	103.19560714164791
17	2jam	132.66666666666666	106.49100118476365
17	2qfa	236.0	140.45995870709916
17	3e7o	217.0	182.29646184169346
17	3elj	35.0	16.522711641858304
17	3npc	213.0	181.50206610394275
17	3sx0	271.6666666666667	125.50829985834935
17	4agl	323.0	256.4137281816245
17	4x21	124.0	99.45853407325085
17	5l4q	126.66666666666667	104.00641005886769
17	6e43	292.0	251.21902794175443
17	6q9y	299.3333333333333	115.53931509807963
17	6s1j	258.6666666666667	203.28879293589534
18	2jam	70.66666666666667	58.07179464536406
18	2qfa	138.33333333333334	116.42307904076979
18	3e7o	103.66666666666667	99.11777506246462
18	3elj	63.333333333333336	89.94628026401833
18	3npc	182.33333333333334	186.1030180661596
18	3sx0	179.0	140.29611541307906
18	4agl	165.33333333333334	141.6415664038397
18	4x21	96.0	106.50352106855435
18	5l4q	133.33333333333334	54.28013755816517
18	6e43	50.333333333333336	15.30795000427338
18	6q9y	184.66666666666666	116.9800552800918
18	6s1j	191.33333333333334	153.28839921316072
20	2jam	201.33333333333334	63.65794006511154
20	2qfa	355.6666666666667	97.59269098315373
20	3e7o	193.66666666666666	110.11963191608176
20	3elj	114.0	85.15867542417507
20	3npc	146.0	139.37359864766353
20	3sx0	104.66666666666667	72.05784713224045
20	4agl	125.66666666666667	105.36761045659777
20	4x21	193.33333333333334	63.16908526592208
20	5l4q	233.33333333333334	121.54148811551278
20	6e43	203.33333333333334	71.17818017716759
20	6q9y	241.33333333333334	56.7567910767807
20	6s1j	321.3333333333333	124.14641893076632
23	2jam	377.6666666666667	29.56912804486013
23	2qfa	196.0	64.13267497929586
23	3e7o	313.3333333333333	58.500712246376395
23	3elj	316.0	143.57228144736015
23	3npc	393.6666666666667	8.50490054811538
23	3sx0	362.3333333333333	81.22397018942951
23	4agl	252.66666666666666	139.96189957746833
23	4x21	278.6666666666667	148.86347212574793
23	5l4q	288.0	62.601916903558156
23	6e43	342.0	75.28612089887484
23	6q9y	401.0	31.04834939252005
23	6s1j	200.0	109.77704678119193
26	2jam	203.66666666666666	133.82949351071062
26	2qfa	373.0	72.91776189653656
26	3e7o	131.33333333333334	168.69301506978093
26	3elj	168.0	235.5610324310878
26	3npc	286.3333333333333	150.38727783071724
26	3sx0	351.3333333333333	20.81665999466132
26	4agl	284.3333333333333	155.8856418446976
26	4x21	156.33333333333334	175.8588449107219
26	5l4q	315.6666666666667	149.76759774174565
26	6e43	255.66666666666666	194.4436507920311
26	6q9y	327.0	89.28605714219886
26	6s1j	173.33333333333334	227.97002726966835
31	2jam	437.6666666666667	54.24327915358117
31	2qfa	483.3333333333333	15.176736583776272
31	3e7o	438.6666666666667	21.501937897160193
31	3elj	433.0	8.54400374531753
31	3npc	450.0	33.71943060017473
31	3sx0	416.3333333333333	12.701705922171776
31	4agl	472.3333333333333	19.65536398374075
31	4x21	463.3333333333333	27.592269448766494
31	5l4q	463.0	17.349351572897472
31	6e43	445.3333333333333	35.10460558578223
31	6q9y	413.6666666666667	34.78984526170437
31	6s1j	434.0	13.892443989449804
33	2jam	224.33333333333334	30.615900008546756
33	2qfa	143.33333333333334	118.29764720117359
33	3e7o	176.0	65.81793068761733
33	3elj	164.33333333333334	65.2099174461472
33	3npc	144.0	58.557663887829406
33	3sx0	32.0	28.160255680657446
33	4agl	139.66666666666666	12.342339054382407
33	4x21	154.33333333333334	63.00264544710273
33	5l4q	193.66666666666666	95.25929525948285
33	6e43	59.333333333333336	40.21608301828179
33	6q9y	162.66666666666666	75.03554713156514
33	6s1j	121.66666666666667	37.87259343289463
35	2jam	161.0	35.79106033634656
35	2qfa	280.3333333333333	63.406098550008046
35	3e7o	142.0	48.041648597857254
35	3elj	116.33333333333333	33.020195840323744
35	3npc	104.66666666666667	24.986663109213552
35	3sx0	72.66666666666667	45.081407845511364
35	4agl	171.33333333333334	142.6090226224601
35	4x21	117.33333333333333	71.22031545376174
35	5l4q	113.0	37.64306044943742
35	6e43	201.66666666666666	91.34732252963593
35	6q9y	274.3333333333333	40.26578365477733
35	6s1j	199.0	71.04224095564554
37	2jam	193.33333333333334	110.82117727823203
37	2qfa	108.66666666666667	69.58687615731384
37	3e7o	116.0	43.86342439892262
37	3elj	71.66666666666667	90.66605391949808
37	3npc	123.0	139.47401191619892
37	3sx0	52.0	72.77362159464101
37	4agl	194.0	31.240998703626616
37	4x21	200.66666666666666	60.277137733417085
37	5l4q	96.33333333333333	87.0765946356042
37	6e43	89.33333333333333	9.291573243177568
37	6q9y	36.0	8.0
37	6s1j	145.33333333333334	67.00248751601193
39	2jam	475.0	3.4641016151377544
39	2qfa	468.0	28.930952282978865
39	3e7o	460.0	19.0
39	3elj	434.6666666666667	23.24507116214818
39	3npc	381.3333333333333	21.50193789716018
39	3sx0	336.0	36.66060555964672
39	4agl	418.0	41.0731055558257
39	4x21	473.3333333333333	14.189197769195168
39	5l4q	472.0	10.816653826391969
39	6e43	441.3333333333333	48.809152147249314
39	6q9y	372.6666666666667	59.542701763804224
39	6s1j	442.3333333333333	29.484459183327967
56	2jam	488.3333333333333	9.073771725877465
56	2qfa	494.0	4.0
56	3e7o	488.0	10.535653752852738
56	3elj	491.6666666666667	6.506407098647719
