name	docked_protein	Mean rank	SD
2	2jam	52.333333333333336	50.52062285179522
3	2jam	68.0	77.58221445666526
4	2jam	202.0	71.75653280364095
5	2jam	222.66666666666666	182.4125361189119
6	2jam	75.0	51.02940328869229
11	2jam	48.333333333333336	38.85013942488924
17	2jam	132.66666666666666	106.49100118476365
18	2jam	70.66666666666667	58.07179464536406
20	2jam	201.33333333333334	63.65794006511154
23	2jam	377.6666666666667	29.56912804486013
26	2jam	203.66666666666666	133.82949351071062
31	2jam	437.6666666666667	54.24327915358117
33	2jam	224.33333333333334	30.615900008546756
35	2jam	161.0	35.79106033634656
37	2jam	193.33333333333334	110.82117727823203
39	2jam	475.0	3.4641016151377544
56	2jam	488.3333333333333	9.073771725877465
64	2jam	472.6666666666667	18.475208614068016
67	2jam	478.6666666666667	20.502032419575702
81	2jam	410.3333333333333	17.03917055884274
85	2jam	298.3333333333333	122.72869808375437
95	2jam	175.66666666666666	6.806859285554042
106	2jam	199.66666666666666	22.89832599412746
107	2jam	212.33333333333334	84.88423489278404
111	2jam	355.6666666666667	114.2117915687051
127	2jam	132.66666666666666	93.89533179734407
129	2jam	75.33333333333333	63.799164048859865
130	2jam	168.33333333333334	67.26316475853135
131	2jam	55.333333333333336	39.50105483823607
136	2jam	92.66666666666667	29.143323992525858
137	2jam	215.33333333333334	84.7014364301653
138	2jam	203.0	25.942243542145693
141	2jam	312.0	72.38093671679029
152	2jam	131.0	128.56126943990557
153	2jam	100.0	74.63913182774837
156	2jam	277.0	5.5677643628300215
167	2jam	318.6666666666667	19.42506971244462
169	2jam	101.66666666666667	61.64684366075309
170	2jam	122.0	84.78797084492588
175	2jam	184.0	30.116440692751194
176	2jam	137.66666666666666	21.007935008784973
182	2jam	218.33333333333334	170.65266869678112
184	2jam	426.3333333333333	24.33789911502907
188	2jam	345.3333333333333	95.5004362991779
191	2jam	248.33333333333334	187.6441667980471
199	2jam	230.0	59.09314681077663
200	2jam	332.6666666666667	119.06860767361536
201	2jam	219.33333333333334	43.84442191811101
205	2jam	191.0	35.02855977627399
211	2jam	420.6666666666667	18.58314648635513
2	2qfa	115.66666666666667	76.00877142365434
3	2qfa	94.33333333333333	66.64332924857021
4	2qfa	241.33333333333334	34.53018003621373
5	2qfa	340.6666666666667	174.90664176449485
6	2qfa	93.33333333333333	40.5010287935175
11	2qfa	153.0	131.59407281484982
17	2qfa	236.0	140.45995870709916
18	2qfa	138.33333333333334	116.42307904076979
20	2qfa	355.6666666666667	97.59269098315373
23	2qfa	196.0	64.13267497929586
26	2qfa	373.0	72.91776189653656
31	2qfa	483.3333333333333	15.176736583776272
33	2qfa	143.33333333333334	118.29764720117359
35	2qfa	280.3333333333333	63.406098550008046
37	2qfa	108.66666666666667	69.58687615731384
39	2qfa	468.0	28.930952282978865
56	2qfa	494.0	4.0
64	2qfa	428.3333333333333	48.01388688008225
67	2qfa	494.3333333333333	3.2145502536643265
81	2qfa	321.6666666666667	55.78829028867379
85	2qfa	240.0	136.09922850626305
95	2qfa	256.6666666666667	101.1599393699568
106	2qfa	372.0	121.50308638055249
107	2qfa	451.0	18.027756377319946
111	2qfa	427.6666666666667	66.46302230062469
127	2qfa	90.33333333333333	52.84253337353663
129	2qfa	88.66666666666667	35.837596645608556
130	2qfa	165.66666666666666	140.52164720545136
131	2qfa	47.666666666666664	10.96965511460289
136	2qfa	50.666666666666664	47.93050524804984
137	2qfa	201.33333333333334	87.29452063751386
138	2qfa	137.66666666666666	66.16141876753652
141	2qfa	228.0	118.07201192492656
152	2qfa	391.0	20.784609690826528
153	2qfa	132.66666666666666	84.5064100132844
156	2qfa	256.3333333333333	48.21134029803915
167	2qfa	384.0	44.13615298142782
169	2qfa	332.0	33.15116890850155
170	2qfa	309.6666666666667	22.278539748675925
175	2qfa	217.33333333333334	161.80955884413422
176	2qfa	264.6666666666667	21.12660250332109
182	2qfa	407.3333333333333	78.23255929172541
184	2qfa	432.0	45.13313638558703
188	2qfa	320.6666666666667	36.473734842120756
191	2qfa	257.3333333333333	178.63463643239328
199	2qfa	177.66666666666666	69.29886963965093
200	2qfa	163.33333333333334	101.15499658115428
201	2qfa	58.0	51.21523210920751
205	2qfa	272.6666666666667	18.009256878986807
211	2qfa	448.0	19.697715603592208
2	3e7o	188.33333333333334	144.04975992112355
3	3e7o	215.33333333333334	189.159544653008
4	3e7o	143.66666666666666	93.27557736799774
5	3e7o	234.33333333333334	201.43071596291696
6	3e7o	45.333333333333336	35.47299442298794
11	3e7o	20.666666666666668	14.571661996262929
17	3e7o	217.0	182.29646184169346
18	3e7o	103.66666666666667	99.11777506246462
20	3e7o	193.66666666666666	110.11963191608176
23	3e7o	313.3333333333333	58.500712246376395
26	3e7o	131.33333333333334	168.69301506978093
31	3e7o	438.6666666666667	21.501937897160193
33	3e7o	176.0	65.81793068761733
35	3e7o	142.0	48.041648597857254
37	3e7o	116.0	43.86342439892262
39	3e7o	460.0	19.0
56	3e7o	488.0	10.535653752852738
64	3e7o	472.0	13.228756555322953
67	3e7o	442.3333333333333	38.85013942488925
81	3e7o	327.0	74.22263805605402
85	3e7o	269.0	156.20499351813308
95	3e7o	187.33333333333334	27.153882472555072
106	3e7o	141.33333333333334	102.28554801795478
107	3e7o	239.66666666666666	59.55109850652071
111	3e7o	227.66666666666666	145.33524463575012
127	3e7o	296.0	69.50539547402057
129	3e7o	208.0	159.00943368240766
130	3e7o	155.33333333333334	199.07871140162962
131	3e7o	147.0	71.04224095564554
136	3e7o	130.0	21.37755832643195
137	3e7o	189.0	78.24960063795854
138	3e7o	290.0	54.08326913195984
141	3e7o	177.66666666666666	146.50028441383085
152	3e7o	21.333333333333332	35.21836642056717
153	3e7o	165.66666666666666	120.25944176376893
156	3e7o	257.3333333333333	62.68439465555468
