identifier	2jam_consensus	2qfa_consensus	3e7o_consensus	3elj_consensus	3npc_consensus	3sx0_consensus	4agl_consensus	4x21_consensus	5l4q_consensus	6e43_consensus	6q9y_consensus	6s1j_consensus	2jam_LeDock	2jam_Smina	2jam_Vina	2qfa_LeDock	2qfa_Smina	2qfa_Vina	3e7o_LeDock	3e7o_Smina	3e7o_Vina	3elj_LeDock	3elj_Smina	3elj_Vina	3npc_LeDock	3npc_Smina	3npc_Vina	3sx0_LeDock	3sx0_Smina	3sx0_Vina	4agl_LeDock	4agl_Smina	4agl_Vina	4x21_LeDock	4x21_Smina	4x21_Vina	5l4q_LeDock	5l4q_Smina	5l4q_Vina	6e43_LeDock	6e43_Smina	6e43_Vina	6q9y_LeDock	6q9y_Smina	6q9y_Vina	6s1j_LeDock	6s1j_Smina	6s1j_Vina
2jam_consensus	1.0	0.6	0.62	0.66	0.62	0.56	0.64	0.7	0.52	0.64	0.54	0.6	0.46	0.8	0.74	0.44	0.58	0.48	0.44	0.52	0.58	0.48	0.58	0.54	0.34	0.54	0.52	0.44	0.52	0.46	0.42	0.56	0.54	0.44	0.6	0.58	0.38	0.52	0.54	0.32	0.5	0.54	0.4	0.38	0.44	0.42	0.58	0.58
2qfa_consensus	0.6	1.0	0.48	0.44	0.52	0.56	0.54	0.54	0.48	0.54	0.6	0.46	0.34	0.5	0.46	0.66	0.66	0.62	0.38	0.38	0.46	0.38	0.36	0.34	0.4	0.42	0.44	0.46	0.5	0.46	0.5	0.46	0.48	0.38	0.4	0.4	0.4	0.46	0.48	0.36	0.38	0.4	0.54	0.52	0.54	0.42	0.42	0.46
3e7o_consensus	0.62	0.48	1.0	0.64	0.5	0.5	0.56	0.74	0.62	0.58	0.44	0.68	0.36	0.58	0.56	0.34	0.42	0.4	0.5	0.82	0.82	0.4	0.62	0.62	0.24	0.58	0.6	0.44	0.5	0.44	0.4	0.58	0.54	0.4	0.64	0.64	0.42	0.62	0.66	0.32	0.5	0.5	0.36	0.38	0.4	0.4	0.66	0.68
3elj_consensus	0.66	0.44	0.64	1.0	0.48	0.5	0.5	0.58	0.62	0.54	0.48	0.58	0.42	0.56	0.52	0.36	0.46	0.42	0.48	0.54	0.58	0.6	0.78	0.76	0.3	0.5	0.52	0.44	0.54	0.48	0.4	0.44	0.38	0.36	0.5	0.46	0.48	0.54	0.54	0.36	0.38	0.4	0.42	0.32	0.38	0.46	0.5	0.52
3npc_consensus	0.62	0.52	0.5	0.48	1.0	0.48	0.58	0.6	0.48	0.62	0.58	0.58	0.32	0.54	0.58	0.46	0.5	0.54	0.4	0.48	0.48	0.4	0.52	0.5	0.5	0.72	0.7	0.42	0.54	0.48	0.46	0.5	0.5	0.48	0.54	0.54	0.4	0.56	0.58	0.4	0.58	0.6	0.52	0.54	0.6	0.5	0.52	0.5
3sx0_consensus	0.56	0.56	0.5	0.5	0.48	1.0	0.5	0.5	0.5	0.5	0.54	0.44	0.38	0.46	0.46	0.48	0.56	0.54	0.38	0.42	0.46	0.42	0.44	0.4	0.34	0.48	0.44	0.66	0.78	0.78	0.44	0.46	0.46	0.4	0.34	0.36	0.38	0.4	0.46	0.32	0.34	0.36	0.46	0.42	0.44	0.46	0.4	0.42
4agl_consensus	0.64	0.54	0.56	0.5	0.58	0.5	1.0	0.64	0.58	0.6	0.48	0.58	0.4	0.58	0.5	0.42	0.5	0.46	0.46	0.54	0.5	0.4	0.5	0.46	0.42	0.48	0.52	0.42	0.48	0.44	0.56	0.7	0.68	0.46	0.48	0.48	0.48	0.52	0.56	0.34	0.48	0.5	0.42	0.36	0.42	0.48	0.56	0.52
4x21_consensus	0.7	0.54	0.74	0.58	0.6	0.5	0.64	1.0	0.6	0.62	0.52	0.7	0.36	0.66	0.58	0.42	0.52	0.52	0.5	0.7	0.7	0.4	0.62	0.58	0.34	0.58	0.58	0.44	0.48	0.46	0.4	0.64	0.56	0.5	0.7	0.7	0.4	0.58	0.6	0.3	0.52	0.54	0.42	0.4	0.46	0.44	0.64	0.66
5l4q_consensus	0.52	0.48	0.62	0.62	0.48	0.5	0.58	0.6	1.0	0.52	0.52	0.54	0.38	0.48	0.44	0.38	0.5	0.48	0.48	0.56	0.52	0.44	0.56	0.54	0.32	0.5	0.5	0.4	0.5	0.52	0.48	0.52	0.42	0.42	0.5	0.52	0.52	0.74	0.72	0.34	0.44	0.44	0.44	0.4	0.42	0.48	0.46	0.48
6e43_consensus	0.64	0.54	0.58	0.54	0.62	0.5	0.6	0.62	0.52	1.0	0.56	0.54	0.32	0.54	0.54	0.46	0.54	0.5	0.42	0.52	0.56	0.32	0.56	0.52	0.36	0.56	0.56	0.46	0.54	0.46	0.42	0.56	0.56	0.36	0.54	0.54	0.32	0.56	0.56	0.46	0.6	0.66	0.48	0.48	0.52	0.42	0.58	0.54
