name	docked_protein	score	no_atoms	Tool	ligand_efficiency
382	6e43	-12.172	28	Vina	-0.4347142857142857
2134	6e43	-12.116	32	Vina	-0.378625
814	6e43	-11.641	30	Vina	-0.3880333333333333
1486	6e43	-11.641	30	Vina	-0.3880333333333333
483	6e43	-11.423	30	Vina	-0.3807666666666666
886	6e43	-11.415	28	Vina	-0.4076785714285714
1044	6e43	-11.335	29	Vina	-0.3908620689655173
847	6e43	-11.332	30	Vina	-0.3777333333333333
1027	6e43	-11.331	32	Vina	-0.35409375
1894	6e43	-11.305	24	Vina	-0.4710416666666666
1690	6e43	-11.253	31	Vina	-0.363
2359	6e43	-11.208	28	Vina	-0.4002857142857143
767	6e43	-11.16	30	Vina	-0.372
1372	6e43	-11.118	28	Vina	-0.3970714285714286
2043	6e43	-11.099	30	Vina	-0.3699666666666666
1927	6e43	-11.085	32	Vina	-0.34640625
1466	6e43	-11.049	28	Vina	-0.3946071428571428
2416	6e43	-10.998	32	Vina	-0.3436875
1536	6e43	-10.997	30	Vina	-0.3665666666666666
213	6e43	-10.992	24	Vina	-0.458
2195	6e43	-10.979	28	Vina	-0.3921071428571428
2349	6e43	-10.959	27	Vina	-0.4058888888888888
1788	6e43	-10.899	29	Vina	-0.3758275862068965
2285	6e43	-10.899	31	Vina	-0.3515806451612903
526	6e43	-10.89	28	Vina	-0.3889285714285714
294	6e43	-10.869	30	Vina	-0.3623
2377	6e43	-10.849	33	Vina	-0.3287575757575757
278	6e43	-10.819	27	Vina	-0.4007037037037037
1355	6e43	-10.8	26	Vina	-0.4153846153846154
611	6e43	-10.798	32	Vina	-0.3374375
2373	6e43	-10.793	28	Vina	-0.3854642857142857
1711	6e43	-10.792	30	Vina	-0.3597333333333333
2381	6e43	-10.771	30	Vina	-0.3590333333333333
381	6e43	-10.762	28	Vina	-0.3843571428571429
362	6e43	-10.727	35	Vina	-0.3064857142857143
153	6e43	-10.726	31	Vina	-0.346
1966	6e43	-10.726	26	Vina	-0.4125384615384616
170	6e43	-10.721	34	Vina	-0.3153235294117647
2012	6e43	-10.721	24	Vina	-0.4467083333333333
1337	6e43	-10.693	30	Vina	-0.3564333333333333
1865	6e43	-10.69	28	Vina	-0.3817857142857143
797	6e43	-10.685	28	Vina	-0.3816071428571428
961	6e43	-10.673	29	Vina	-0.3680344827586207
1533	6e43	-10.66	28	Vina	-0.3807142857142857
243	6e43	-10.651	28	Vina	-0.3803928571428571
2004	6e43	-10.65	28	Vina	-0.3803571428571429
1506	6e43	-10.606	30	Vina	-0.3535333333333333
247	6e43	-10.602	22	Vina	-0.4819090909090909
426	6e43	-10.586	27	Vina	-0.3920740740740741
2184	6e43	-10.572	28	Vina	-0.3775714285714285
2359	3sx0	-11.749	28	Vina	-0.4196071428571429
1689	3sx0	-10.522	29	Vina	-0.3628275862068965
400	3sx0	-10.414	29	Vina	-0.359103448275862
1535	3sx0	-10.411	28	Vina	-0.3718214285714286
1130	3sx0	-10.331	26	Vina	-0.3973461538461538
1969	3sx0	-10.258	26	Vina	-0.3945384615384615
421	3sx0	-10.246	26	Vina	-0.3940769230769231
1533	3sx0	-10.098	28	Vina	-0.3606428571428571
37	3sx0	-10.059	26	Vina	-0.3868846153846154
1506	3sx0	-10.028	30	Vina	-0.3342666666666666
874	3sx0	-9.994	28	Vina	-0.3569285714285714
662	3sx0	-9.976	24	Vina	-0.4156666666666667
767	3sx0	-9.931	30	Vina	-0.3310333333333333
872	3sx0	-9.915	29	Vina	-0.3418965517241379
2134	3sx0	-9.896	32	Vina	-0.30925
2043	3sx0	-9.875	30	Vina	-0.3291666666666666
