name	docked_protein	score	no_atoms	Tool	ligand_efficiency
247	6e43	-10.602	22	Vina	-0.4819090909090909
1894	6e43	-11.305	24	Vina	-0.4710416666666666
1971	6e43	-9.692	21	Vina	-0.4615238095238095
908	6e43	-10.571	23	Vina	-0.4596086956521739
213	6e43	-10.992	24	Vina	-0.458
1706	6e43	-10.05	22	Vina	-0.4568181818181818
200	6e43	-9.123	20	Vina	-0.4561499999999999
1651	6e43	-9.465	21	Vina	-0.4507142857142857
2012	6e43	-10.721	24	Vina	-0.4467083333333333
1248	6e43	-8.917	20	Vina	-0.4458499999999999
2350	6e43	-9.237	21	Vina	-0.4398571428571428
141	6e43	-9.645	22	Vina	-0.4384090909090909
737	6e43	-8.768	20	Vina	-0.4384
205	6e43	-10.484	24	Vina	-0.4368333333333333
138	6e43	-10.462	24	Vina	-0.4359166666666667
382	6e43	-12.172	28	Vina	-0.4347142857142857
591	6e43	-9.475	22	Vina	-0.4306818181818181
1521	6e43	-9.033	21	Vina	-0.4301428571428571
211	6e43	-9.032	21	Vina	-0.4300952380952381
201	6e43	-10.25	24	Vina	-0.4270833333333333
2301	6e43	-9.792	23	Vina	-0.4257391304347826
1432	6e43	-8.929	21	Vina	-0.4251904761904762
786	6e43	-10.178	24	Vina	-0.4240833333333333
64	6e43	-8.901	21	Vina	-0.4238571428571428
588	6e43	-9.733	23	Vina	-0.4231739130434783
2276	6e43	-8.454	20	Vina	-0.4227
1822	6e43	-9.72	23	Vina	-0.4226086956521739
1676	6e43	-9.691	23	Vina	-0.4213478260869565
2275	6e43	-8.421	20	Vina	-0.42105
695	6e43	-8.809	21	Vina	-0.4194761904761904
1413	6e43	-10.048	24	Vina	-0.4186666666666667
1941	6e43	-9.14	22	Vina	-0.4154545454545454
1355	6e43	-10.8	26	Vina	-0.4153846153846154
1966	6e43	-10.726	26	Vina	-0.4125384615384616
1781	6e43	-9.884	24	Vina	-0.4118333333333333
1976	6e43	-10.27	25	Vina	-0.4108
1936	6e43	-9.414	23	Vina	-0.4093043478260869
2109	6e43	-8.577	21	Vina	-0.4084285714285714
886	6e43	-11.415	28	Vina	-0.4076785714285714
1226	6e43	-9.362	23	Vina	-0.4070434782608695
2349	6e43	-10.959	27	Vina	-0.4058888888888888
425	6e43	-9.723	24	Vina	-0.405125
1808	6e43	-9.723	24	Vina	-0.405125
789	6e43	-8.459	21	Vina	-0.4028095238095238
1160	6e43	-9.256	23	Vina	-0.4024347826086956
836	6e43	-10.05	25	Vina	-0.402
680	6e43	-9.64	24	Vina	-0.4016666666666666
454	6e43	-8.433	21	Vina	-0.4015714285714286
200	3sx0	-9.351	20	Vina	-0.46755
1706	3sx0	-9.638	22	Vina	-0.4380909090909091
2359	3sx0	-11.749	28	Vina	-0.4196071428571429
2276	3sx0	-8.325	20	Vina	-0.4162499999999999
662	3sx0	-9.976	24	Vina	-0.4156666666666667
1521	3sx0	-8.632	21	Vina	-0.411047619047619
1413	3sx0	-9.862	24	Vina	-0.4109166666666666
737	3sx0	-8.184	20	Vina	-0.4091999999999999
201	3sx0	-9.817	24	Vina	-0.4090416666666667
695	3sx0	-8.538	21	Vina	-0.4065714285714286
908	3sx0	-9.344	23	Vina	-0.4062608695652173
1894	3sx0	-9.736	24	Vina	-0.4056666666666667
681	3sx0	-9.702	24	Vina	-0.40425
1982	3sx0	-9.184	23	Vina	-0.3993043478260869
1130	3sx0	-10.331	26	Vina	-0.3973461538461538
1969	3sx0	-10.258	26	Vina	-0.3945384615384615
1850	3sx0	-9.463	24	Vina	-0.3942916666666666
205	3sx0	-9.461	24	Vina	-0.3942083333333333
421	3sx0	-10.246	26	Vina	-0.3940769230769231
1206	3sx0	-9.709	25	Vina	-0.38836
2301	3sx0	-8.909	23	Vina	-0.3873478260869565
37	3sx0	-10.059	26	Vina	-0.3868846153846154
2017	3sx0	-9.211	24	Vina	-0.3837916666666667
1936	3sx0	-8.827	23	Vina	-0.3837826086956521
