name	docked_protein	score	no_atoms	Tool	ligand_efficiency
0002	2jam	-8.26	33	LeDock	-0.2503030303030303
0003	2jam	-8.48	33	LeDock	-0.25696969696969696
0004	2jam	-6.74	31	LeDock	-0.2174193548387097
0005	2jam	-8.05	35	LeDock	-0.23
0006	2jam	-7.37	30	LeDock	-0.24566666666666667
0011	2jam	-7.36	32	LeDock	-0.23
0017	2jam	-8.17	34	LeDock	-0.24029411764705882
0018	2jam	-8.28	33	LeDock	-0.2509090909090909
0020	2jam	-6.39	32	LeDock	-0.1996875
0023	2jam	-5.83	35	LeDock	-0.16657142857142856
0026	2jam	-5.75	25	LeDock	-0.23
0031	2jam	-5.62	24	LeDock	-0.23416666666666666
0033	2jam	-6.3	30	LeDock	-0.21
0035	2jam	-6.67	30	LeDock	-0.22233333333333333
0037	2jam	-5.96	26	LeDock	-0.22923076923076924
0039	2jam	-4.8	20	LeDock	-0.24
0056	2jam	-4.56	22	LeDock	-0.20727272727272725
0064	2jam	-4.41	21	LeDock	-0.21000000000000002
0067	2jam	-4.52	22	LeDock	-0.20545454545454545
0081	2jam	-5.53	22	LeDock	-0.2513636363636364
0085	2jam	-6.63	25	LeDock	-0.2652
0095	2jam	-6.58	25	LeDock	-0.2632
0106	2jam	-6.42	28	LeDock	-0.2292857142857143
0107	2jam	-6.8	30	LeDock	-0.22666666666666666
0111	2jam	-6.36	28	LeDock	-0.22714285714285715
0127	2jam	-7.55	27	LeDock	-0.2796296296296296
0129	2jam	-6.66	28	LeDock	-0.23785714285714285
0130	2jam	-6.29	27	LeDock	-0.23296296296296296
0131	2jam	-6.92	27	LeDock	-0.2562962962962963
0136	2jam	-6.8	28	LeDock	-0.24285714285714285
0137	2jam	-5.97	24	LeDock	-0.24875
0138	2jam	-6.48	24	LeDock	-0.27
0141	2jam	-5.57	22	LeDock	-0.2531818181818182
0152	2jam	-6.12	26	LeDock	-0.2353846153846154
0153	2jam	-7.94	31	LeDock	-0.25612903225806455
0156	2jam	-6.16	28	LeDock	-0.22
0167	2jam	-5.97	34	LeDock	-0.17558823529411763
0169	2jam	-6.58	35	LeDock	-0.188
0170	2jam	-6.39	34	LeDock	-0.18794117647058822
0175	2jam	-6.41	31	LeDock	-0.2067741935483871
0176	2jam	-6.69	32	LeDock	-0.2090625
0182	2jam	-5.48	35	LeDock	-0.15657142857142858
0184	2jam	-5.54	32	LeDock	-0.173125
0188	2jam	-5.32	30	LeDock	-0.17733333333333334
0191	2jam	-7.51	33	LeDock	-0.22757575757575757
0199	2jam	-6.59	24	LeDock	-0.27458333333333335
0200	2jam	-6.47	20	LeDock	-0.3235
0201	2jam	-6.18	24	LeDock	-0.2575
0205	2jam	-6.62	24	LeDock	-0.2758333333333333
0211	2jam	-5.29	21	LeDock	-0.2519047619047619
0213	2jam	-6.02	24	LeDock	-0.2508333333333333
0216	2jam	-7.26	28	LeDock	-0.2592857142857143
0219	2jam	-5.83	26	LeDock	-0.22423076923076923
0226	2jam	-6.66	29	LeDock	-0.2296551724137931
0231	2jam	-5.55	33	LeDock	-0.16818181818181818
0235	2jam	-5.34	25	LeDock	-0.21359999999999998
0243	2jam	-7.1	28	LeDock	-0.25357142857142856
0244	2jam	-5.43	24	LeDock	-0.22624999999999998
0247	2jam	-5.41	22	LeDock	-0.2459090909090909
